codigo;descripcion;homologado
890201;CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL;MEDICINA GENERAL
890202;CONSULTA DE PRIMERA VEZ POR OTRAS ESPECIALIDADES MÉDICAS;OTRAS ESPECIALIDADES MÉDICAS
890203;CONSULTA DE PRIMERA VEZ POR ODONTOLOGÍA GENERAL;ODONTOLOGÍA GENERAL
890204;CONSULTA DE PRIMERA VEZ POR OTRAS ESPECIALIDADES EN ODONTOLOGIA;OTRAS ESPECIALIDADES EN ODONTOLOGIA
890205;CONSULTA DE PRIMERA VEZ POR ENFERMERÍA;ENFERMERÍA
890206;CONSULTA DE PRIMERA VEZ POR NUTRICIÓN Y DIETÉTICA;NUTRICIÓN Y DIETÉTICA
890207;CONSULTA DE PRIMERA VEZ POR OPTOMETRÍA;OPTOMETRÍA
890208;CONSULTA DE PRIMERA VEZ POR PSICOLOGÍA;PSICOLOGÍA
890209;CONSULTA DE PRIMERA VEZ POR TRABAJO SOCIAL;TRABAJO SOCIAL
890210;CONSULTA DE PRIMERA VEZ POR FONOAUDIOLOGÍA;FONOAUDIOLOGÍA
890211;CONSULTA DE PRIMERA VEZ POR FISIOTERAPIA;FISIOTERAPIA
890212;CONSULTA DE PRIMERA VEZ POR TERAPIA RESPIRATORIA;TERAPIA RESPIRATORIA
890213;CONSULTA DE PRIMERA VEZ POR TERAPIA OCUPACIONAL;TERAPIA OCUPACIONAL
890214;CONSULTA DE PRIMERA VEZ POR TERAPIAS ALTERNATIVAS;TERAPIAS ALTERNATIVAS
890215;CONSULTA DE PRIMERA VEZ POR EQUIPO INTERDISCIPLINARIO;EQUIPO INTERDISCIPLINARIO
890216;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN SALUD FAMILIAR Y COMUNITARIA;SALUD FAMILIAR Y COMUNITARIA
890217;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN CIRUGÍA ORAL;CIRUGÍA ORAL
890218;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN ENDODONCIA;ENDODONCIA
890219;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN ESTOMATOLOGÍA Y CIRUGÍA ORAL;ESTOMATOLOGÍA Y CIRUGÍA ORAL
890220;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN ODONTOPEDIATRÍA;ODONTOPEDIATRÍA
890221;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN PERIODONCIA;PERIODONCIA
890222;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN ORTODONCIA;ORTODONCIA
890223;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN RADIOLOGÍA ORAL Y MAXILOFACIAL;RADIOLOGÍA ORAL Y MAXILOFACIAL
890224;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN REHABILITACIÓN ORAL;REHABILITACIÓN ORAL
890225;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN ALERGOLOGÍA;ALERGOLOGÍA
890226;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN ANESTESIOLOGÍA;ANESTESIOLOGÍA
890227;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN ANESTESIOLOGÍA CARDIOVASCULAR;ANESTESIOLOGÍA CARDIOVASCULAR
890228;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN CARDIOLOGÍA;CARDIOLOGÍA
890229;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN CARDIOLOGÍA PEDIÁTRICA;CARDIOLOGÍA PEDIÁTRICA
890230;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN CIRUGÍA CARDIOVASCULAR;CIRUGÍA CARDIOVASCULAR
890231;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN CIRUGÍA DE CABEZA Y CUELLO;CIRUGÍA DE CABEZA Y CUELLO
890232;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN CIRUGÍA DE MAMA Y TUMORES DE TEJIDOS BLANDOS;CIRUGÍA DE MAMA Y TUMORES DE TEJIDOS BLANDOS
890233;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN CIRUGÍA DE TÓRAX;CIRUGÍA DE TÓRAX
890234;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN CIRUGÍA GASTROINTESTINAL;CIRUGÍA GASTROINTESTINAL
890235;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN CIRUGÍA GENERAL;CIRUGÍA GENERAL
890236;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN CIRUGÍA MAXILOFACIAL;CIRUGÍA MAXILOFACIAL
890237;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN CIRUGÍA ONCOLÓGICA;CIRUGÍA ONCOLÓGICA
890238;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN CIRUGÍA PEDIÁTRICA;CIRUGÍA PEDIÁTRICA
890239;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN CIRUGÍA PLÁSTICA, ESTÉTICA Y RECONSTRUCTIVA;CIRUGÍA PLÁSTICA, ESTÉTICA Y RECONSTRUCTIVA
890240;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN CIRUGÍA VASCULAR;CIRUGÍA VASCULAR
890241;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN COLOPROCTOLOGÍA;COLOPROCTOLOGÍA
890242;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN DERMATOLOGÍA;DERMATOLOGÍA
890243;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN DOLOR Y CUIDADOS PALIATIVOS;DOLOR Y CUIDADOS PALIATIVOS
890244;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN ENDOCRINOLOGÍA;ENDOCRINOLOGÍA
890245;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN ENDOCRINOLOGÍA PEDIÁTRICA;ENDOCRINOLOGÍA PEDIÁTRICA
890246;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN GASTROENTEROLOGÍA;GASTROENTEROLOGÍA
890247;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN GASTROENTEROLOGÍA PEDIÁTRICA;GASTROENTEROLOGÍA PEDIÁTRICA
890248;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN GENÉTICA MÉDICA;GENÉTICA MÉDICA
890249;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN GERIATRÍA;GERIATRÍA
890250;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN GINECOLOGÍA Y OBSTETRICIA;GINECOLOGÍA Y OBSTETRICIA
890251;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN HEMATOLOGÍA;HEMATOLOGÍA
890252;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN HEMATOLOGÍA PEDIÁTRICA;HEMATOLOGÍA PEDIÁTRICA
890253;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN HEPATOLOGÍA;HEPATOLOGÍA
890254;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN INFECTOLOGÍA;INFECTOLOGÍA
890255;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN MASTOLOGÍA;MASTOLOGÍA
890256;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN MEDICINA AEROESPACIAL;MEDICINA AEROESPACIAL
890257;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN MEDICINA ALTERNATIVA (AYURVEDA);MEDICINA ALTERNATIVA (AYURVEDA)
890258;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN MEDICINA ALTERNATIVA (HOMEOPÁTICA);MEDICINA ALTERNATIVA (HOMEOPÁTICA)
890259;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN MEDICINA ALTERNATIVA (MEDICINA TRADICIONAL CHINA);MEDICINA ALTERNATIVA (MEDICINA TRADICIONAL CHINA)
890260;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN MEDICINA ALTERNATIVA (NATUROPATÍA);MEDICINA ALTERNATIVA (NATUROPATÍA)
890261;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN MEDICINA DEL DEPORTE;MEDICINA DEL DEPORTE
890262;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN MEDICINA DEL TRABAJO O SEGURIDAD Y SALUD EN EL TRABAJO;MEDICINA DEL TRABAJO O SEGURIDAD Y SALUD EN EL TRABAJO
890263;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN MEDICINA FAMILIAR;MEDICINA FAMILIAR
890264;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN MEDICINA FÍSICA Y REHABILITACIÓN;MEDICINA FÍSICA Y REHABILITACIÓN
890265;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN MEDICINA FORENSE;MEDICINA FORENSE
890266;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN MEDICINA INTERNA;MEDICINA INTERNA
890267;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN MEDICINA NUCLEAR;MEDICINA NUCLEAR
890268;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN NEFROLOGÍA;NEFROLOGÍA
890269;CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN NEFROLOGÍA PEDIÁTRICA;NEFROLOGÍA PEDIÁTRICA
