especialidad_cita;es_control;codigo;homologado
CARDIOLOGIA;N;890228;CARDIOLOGIA
CARDIOLOGIA;S;890328;CARDIOLOGIA
CARDIOLOGIA PEDIATRICA;N;890229;CARDIOLOGIA PEDIATRICA
CARDIOLOGIA PEDIATRICA;S;890329;CARDIOLOGIA PEDIATRICA
CIRUGIA MAXILOFACIAL;N;890236;CIRUGIA MAXILOFACIAL
CIRUGIA ORAL;N;890217;CIRUGIA ORAL
CIRUGIA ORAL;S;890317;CIRUGIA ORAL
DERMATOLOGIA;N;890242;DERMATOLOGIA
DERMATOLOGIA;S;890342;DERMATOLOGIA
ENDOCRINOLOGIA;N;890244;ENDOCRINOLOGIA
ENDOCRINOLOGIA;S;890344;ENDOCRINOLOGIA
ENDODONCIA;N;890218;ENDODONCIA
ENDODONCIA;S;890318;ENDODONCIA
ENFERMERIA;N;890105;ENFERMERIA
FISIOTERAPIA;N;890111;FISIOTERAPIA
FISIOTERAPIA;S;890311;FISIOTERAPIA
FONOAUDIOLOGIA;N;890210;FONOAUDIOLOGIA
INFECTOLOGIA;N;890254;INFECTOLOGIA
INFECTOLOGIA;S;890354;INFECTOLOGIA
MEDICINA FAMILIAR;S;890363;MEDICINA FAMILIAR
MEDICINA FAMILIAR;N;890263;MEDICINA FAMILIAR
MEDICINA FISICA Y REHABILITACION;S;890364;MEDICINA FISICA Y REHABILITACION
MEDICINA FISICA Y REHABILITACION;N;890264;MEDICINA FISICA Y REHABILITACION
MEDICINA GENERAL;N;890101;MEDICINA GENERAL
MEDICINA GENERAL;S;890301;MEDICINA GENERAL
MEDICINA INTERNA;N;890266;MEDICINA INTERNA
MEDICINA INTERNA;S;890366;MEDICINA INTERNA
NEFROLOGIA;N;890268;NEFROLOGIA
NEFROLOGIA;S;890368;NEFROLOGIA
NEUMOLOGIA;N;890271;NEUMOLOGIA
NEUMOLOGIA;S;890371;NEUMOLOGIA
ORTOPEDIA Y TRAUMATOLOGIA;N;890280;ORTOPEDIA Y TRAUMATOLOGIA
OTORRINOLARINGOLOGIA;S;890382;OTORRINOLARINGOLOGIA
